System,Version,Code,Display
http://loinc.org,2.70,13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation
http://loinc.org,2.70,18261-8,Cholesterol in LDL [Mass/volume] in Serum or Plasma ultracentrifugate
http://loinc.org,2.70,18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay
http://loinc.org,2.70,2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,43394-6,Cholesterol in LDL acylated [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,49132-4,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Electrophoresis
http://loinc.org,2.70,50193-2,Cholesterol in LDL.narrow density [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,55440-2,Cholesterol.in LDL (real) [Mass/volume] in Serum or Plasma by VAP
http://loinc.org,2.70,86911-5,Cholesterol in LDL goal [Mass/volume] Serum or Plasma
http://loinc.org,2.70,90364-1,Cholesterol.in LDL.small dense [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,91105-7,Cholesterol in LDL 1 [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,91106-5,Cholesterol in LDL 2 [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,91107-3,Cholesterol in LDL 3 [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,91108-1,Cholesterol in LDL 4 [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,91109-9,Cholesterol in LDL 5 [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,91110-7,Cholesterol in LDL 6 [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,91111-5,Cholesterol in LDL 7 [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,96259-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Calculated by Martin-Hopkins
http://loinc.org,2.70,96597-0,Cholesterol in LDL [Mass/volume] in DBS by Direct assay
